Invalid_Sched_for_Table: 1,Invalid_Sched_for_Table: 2,Invalid_Sched_for_Table: 3,Invalid_Sched_for_Table: 4,Invalid_Sched_for_Table: 5,Invalid_Sched_for_Table: 6,Invalid_Sched_for_Table: 7,Invalid_Sched_for_Table: 8,Invalid_Sched_for_Table: 9,Invalid_Sched_for_Table: 10,Invalid_Sched_for_Table: 11,Invalid_Sched_for_Table: 12,Invalid_Sched_for_Table: 13,Invalid_Sched_for_Table: 14,Invalid_Sched_for_Table: 15,Invalid_Sched_for_Table: 16,Invalid_Sched_for_Table: 17,Invalid_Sched_for_Table: 18,Invalid_Sched_for_Table: 19,Invalid_Sched_for_Table: 20,Invalid_Sched_for_Table: 21,Invalid_Sched_for_Table: 22,Invalid_Sched_for_Table: 23,Invalid_Sched_for_Table: 24,Invalid_Sched_for_Table: 25,Invalid_Sched_for_Table: 26,Invalid_Sched_for_Table: 27,Invalid_Sched_for_Table: 28,Invalid_Sched_for_Table: 29,Invalid_Sched_for_Table: 30,Invalid_Sched_for_Table: 31,Invalid_Sched_for_Table: 32,Invalid_Sched_for_Table: 33,Invalid_Sched_for_Table: 34,Invalid_Sched_for_Table: 35,Invalid_Sched_for_Table: 36,Invalid_Sched_for_Table: 37,Invalid_Sched_for_Table: 38,Invalid_Sched_for_Table: 39,Invalid_Sched_for_Table: 40,Invalid_Sched_for_Table: 41,Invalid_Sched_for_Table: 42,Invalid_Sched_for_Table: 43,Invalid_Sched_for_Table: 44,Invalid_Sched_for_Table: 45,Invalid_Sched_for_Table: 46,Invalid_Sched_for_Table: 47,Invalid_Sched_for_Table: 48,Invalid_Sched_for_Table: 49,Invalid_Sched_for_Table: 50,Invalid_Sched_for_Table: 51,Invalid_Sched_for_Table: 52,Invalid_Sched_for_Table: 53,Invalid_Sched_for_Table: 54,Invalid_Sched_for_Table: 55,Invalid_Sched_for_Table: 56,Invalid_Sched_for_Table: 57,Invalid_Sched_for_Table: 58,Invalid_Sched_for_Table: 59,Invalid_Sched_for_Table: 60,Invalid_Sched_for_Table: 61,Invalid_Sched_for_Table: 62,Invalid_Sched_for_Table: 63,Invalid_Sched_for_Table: 64,Invalid_Sched_for_Table: 65,Invalid_Sched_for_Table: 66,Invalid_Sched_for_Table: 67,Invalid_Sched_for_Table: 68,Invalid_Sched_for_Table: 69,Invalid_Sched_for_Table: 70,Invalid_Sched_for_Table: 71,Invalid_Sched_for_Table: 72,Invalid_Sched_for_Table: 73,Invalid_Sched_for_Table: 74,Invalid_Sched_for_Table: 75,Invalid_Sched_for_Table: 76,Invalid_Sched_for_Table: 77,Invalid_Sched_for_Table: 78,Invalid_Sched_for_Table: 79,Invalid_Sched_for_Table: 80,Invalid_Sched_for_Table: 81,Invalid_Sched_for_Table: 82,Invalid_Sched_for_Table: 83,Invalid_Sched_for_Table: 84,Invalid_Sched_for_Table: 85,Invalid_Sched_for_Table: 86,Invalid_Sched_for_Table: 87,Invalid_Sched_for_Table: 88,Invalid_Sched_for_Table: 89,Invalid_Sched_for_Table: 90,Invalid_Sched_for_Table: 91,Invalid_Sched_for_Table: 92,Invalid_Sched_for_Table: 93,Invalid_Sched_for_Table: 94,Invalid_Sched_for_Table: 95,Invalid_Sched_for_Table: 96,Invalid_Sched_for_Table: 97,Invalid_Sched_for_Table: 98,Invalid_Sched_for_Table: 99,Invalid_Sched_for_Table: 100
,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,TUES 230,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200
,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,TUES 245,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215
,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,TUES 300,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230
,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,TUES 315,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245
,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,TUES 330,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100
,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,TUES 345,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115
,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,TUES 400,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130
,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,TUES 415,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145
,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,TUES 430,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200
,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,TUES 445,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215
