0,1,2,3,4,5,6
AM,MON,TUES,WED,THURS,FRI,SAT
600,,T2,,T2,,T2
615,,T2,,T2,,T2
630,,T2,,T2,,T2
645,,T2,,T2,,T2
700,,T2,,T2,,T2
715,,T2,,T2,,T2
730,,T2,,T2,,T2
745,,T2,,T2,,T2
800,,T2,,T2,,T2
815,,T2,,T2,,T2
830,,T2,,T2,,T2
845,,T2,,T2,,T2
900,,T2,,T2,,T2
915,,T2,,T2,,T2
930,,T2,,T2,,T2
945,,T2,,T2,,T2
1000,,T2,,T2,,T2
1015,,T2,,T2,,T2
1030,,T2,,T2,,T2
1045,,T2,,T2,,T2
1100,,T2,,T2,,T2
1115,,T2,,T2,,T2
1130,,T2,,T2,,T2
1145,,T2,,T2,,T2
1200,,T2,,T2,,T2
PM,,,,,,
1200,T3,,T2,,T2,
1215,T2,,T2,,T2,
1230,T2,,T2,,T2,
1245,T2,,T2,,T2,
100,T2,,T2,,T2,
115,T2,,T2,,T2,T3
130,T2,,T2,,T2,T3
145,T2,,T2,,T2,T3
200,T2,,T2,,T2,T3
215,T2,,T2,,T2,T3
230,T2,T3,T2,,T2,T3
245,T2,T3,T2,,T2,T3
300,T2,T3,T2,,T2,T3
315,T2,T3,T2,,T2,T3
330,T2,T3,T2,,T2,T3
345,T2,T3,T2,,T2,T3
400,T2,T3,T2,,T2,T3
415,T2,T3,T2,,T2,
430,T2,T3,T2,,T2,
445,T2,T3,T2,,T2,
500,T2,T3,T2,,T2,
515,T2,T3,T2,,T2,
530,T2,,T2,,T2,
545,T2,,T2,,T2,
600,T2,,T2,,T2,
615,,,,,,
630,,,,,,
645,,,,,,
700,,,,,,
715,,,,,,
730,,,,,,
745,,,,,,
800,,,,,,
815,,,,,,
830,,,,,,
845,,,,,,
900,,,,,,
915,,,,,,
930,,,,,,
945,,,,,,
1000,,,,,,
